Regione	Provincia	Codice	Scuola	Dominio	Mail	Google Suite	Microsoft 365
CALABRIA	CATANZARO	CZIC85300E	IC  CATANZARO  PASCOLI -ALDISIO	www.icpascolialdisiocz.edu.it	czic85300e@pec.istruzione.it	10 alt3.aspmx.l.google.com.	
CALABRIA	CATANZARO	CZIC856002	"IC CATANZARO ""DON MILANI"" SALA"	www.icdonmilanicz.edu.it	czic856002@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
CALABRIA	CATANZARO	CZIC85800N	IC CATANZARO MATER DOMINI	http://www.icmaterdominicz.gov.it/	czic85800n@pec.istruzione.it		
CALABRIA	CATANZARO	CZIC85900D	IC CATANZARO  NORD EST-MANZONI	http://www.iccatanzaroest.gov.it	czic85900d@pec.istruzione.it		
CALABRIA	CATANZARO	CZIC86000N	IC  CATANZARO CASALINUOVO SUD	www.iccasalinuovocatanzarosud.edu.it	czic86000n@pec.istruzione.it	20 alt2.aspmx.l.google.com.	
CALABRIA	CATANZARO	CZIC86100D	"IC CATANZARO ""M. PRETI"" S.MARIA"	www.icmattiapreti.edu.it	czic86100d@pec.istruzione.it	50 alt4.aspmx.l.google.com.	
CALABRIA	CATANZARO	CZIC862009	IC LAMEZIA T. DON L. MILANI	http://www.icdonmilanilamezia.gov.it	czic862009@pec.istruzione.it		
CALABRIA	CATANZARO	CZIC863005	IC LAMEZIA T. MANZONI AUGRUSO	www.ic-manzoni-augruso.edu.it	czic863005@pec.istruzione.it	20 alt2.aspmx.l.google.com.	
CALABRIA	CATANZARO	CZIC864001	"IC  ""ARDITO- DON BOSCO"""	http://www.arditodonbosco.gov.it/	czic864001@pec.istruzione.it		
CALABRIA	CATANZARO	CZIC86500R	IC TIRIOLO -CAPOLUOGO- D.D.	www.istitutocomprensivotiriolo.edu.it	czic86500r@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
CALABRIA	CATANZARO	CZIC86700C	IC CATANZARO V.VIVALDI	http://www.icvivaldicatanzaro.edu.it	czic86700c@pec.istruzione.it		
CALABRIA	CATANZARO	CZIC868008	IC LAMEZIA BORRELLO-FIORENTINO	www.icborrellofiorentino.edu.it	czic868008@pec.istruzione.it	10 aspmx.l.google.com.	
CALABRIA	CATANZARO	CZIC869004	IST. COMPRENSIVO SOVERATO 1	http://www.icsoveratoprimo.edu.it	czic869004@pec.istruzione.it		
CALABRIA	CATANZARO	CZIC871004	IST. COMPR. DI CHIARAVALLE N.2	http://www.scuolachiaravalle.it	czic871004@pec.istruzione.it		
CALABRIA	CATANZARO	CZIC87200X	ISTITUTO COMPRENSIVO DI SQUILLA	www.scuolesquillace.edu.it	czic87200x@pec.istruzione.it	50 alt4.aspmx.l.google.com.	
CALABRIA	CATANZARO	CZIC87300Q	ISTITUTO COMPRENSIVO DI TAVERNA	www.ictaverna.edu.it	czic87300q@pec.istruzione.it	10 aspmx.l.google.com.	
CALABRIA	CATANZARO	CZIC87400G	"I.C. ""PERRI-PITAGORA"" L.T."	www.icperripitagora.edu.it	czic87400g@pec.istruzione.it	http://www.icperripitagora.edu.it/filemanager/Dirigente/2020-21/1-PIANO%20DDI_revisione%2017%20novembre.pdf	
CALABRIA	CATANZARO	CZIS001002	"IS  ""FERMI"" CATANZARO"	www.iisfermi.edu.it	czis001002@pec.istruzione.it	20 alt2.aspmx.l.google.com.	
CALABRIA	CATANZARO	CZIS00200T	IIS GIRIFALCO	www.iismajoranagirifalco.edu.it	czis00200t@pec.istruzione.it	50 alt4.aspmx.l.google.com.	
CALABRIA	CATANZARO	CZIS00300N	"IS  ""L.COSTANZO"" DECOLLATURA"	http://www.iiscostanzodecollatura.gov.it	czis00300n@pec.istruzione.it		
CALABRIA	CATANZARO	CZIS007001	"IS ""ENZO FERRARI"" CHIARAVALLE CENTRALE"	www.iischiaravalle.edu.it	czis007001@pec.istruzione.it	50 alt4.aspmx.l.google.com.	
CALABRIA	CATANZARO	CZIS00900L	"IS ""GIOVANNA DE NOBILI"" CATANZARO"	http://www.istitutodenobili.it	czis00900l@pec.istruzione.it		
CALABRIA	CATANZARO	CZIS01100L	"IIS - ""RITA LEVI MONTALCINI"" SERSALE"	http://www.is-sersale.gov.it/	czis01100l@pec.istruzione.it		
CALABRIA	CATANZARO	CZIS01700G	"I.I.S. ""PETRUCCI-FERRARIS-MARESCA"""		czis01700g@pec.istruzione.it		
CALABRIA	CATANZARO	CZIS01800B	"IIS  ""GUARASCI-CALABRETTA"""	www.guarascicalabretta.edu.it	czis01800b@pec.istruzione.it	1 aspmx.l.google.com.	
CALABRIA	CATANZARO	CZIS019007	IIS POLO TECNOLOGICO IND.ED ARTIG.AVANZ.		czis019007@pec.istruzione.it		
CALABRIA	CATANZARO	CZIS021007	"I.I.S. ""V.EMANUELE II"""	http://www.iisvemanuelecatanzaro.it	czis021007@pec.istruzione.it		
CALABRIA	CATANZARO	CZPC030008	LC LICEO CLASSICO F. FIORENTINO	www.liceofiorentino.edu.it	czpc030008@pec.istruzione.it	10 alt3.aspmx.l.google.com.	
CALABRIA	CATANZARO	CZPC060004	"LC ""P.GALLUPPI"" CATANZARO"	www.liceogalluppi.net	czpc060004@pec.istruzione.it	30 aspmx3.googlemail.com.	
CALABRIA	CATANZARO	CZPM03000C	"LICEO ST. ""T. CAMPANELLA"" LAMEZIA TERME"	www.liceocampanellalamezia.it	czpm03000c@pec.istruzione.it	10 aspmx.l.google.com.	
CALABRIA	CATANZARO	CZPS02000R	"LS ""GALILEI"" LAMEZIA TERME"	www.liceogalileilamezia.edu.it	czps02000r@pec.istruzione.it	10 alt3.aspmx.l.google.com.	
CALABRIA	CATANZARO	CZPS03000B	"LS ""L.  SICILIANI"" CATANZARO"	www.liceosiciliani.it	czps03000b@pec.istruzione.it	5 alt2.aspmx.l.google.com.	
CALABRIA	CATANZARO	CZRH04000Q	IPSSEOA SOVERATO	www.alberghierosoverato.edu.it	czrh04000q@pec.istruzione.it	https://www.alberghierosoverato.edu.it/wp-content/uploads/2020/09/GUIDA_GSUITE_STUDENTI_All_Circ_29.pdf	
CALABRIA	CATANZARO	CZRH05000A	IST. PROFESSIONALE ALBERGHIERO L.EINAUDI	www.einaudilamezia.edu.it	czrh05000a@pec.istruzione.it	50 aspmx2.googlemail.com.	
CALABRIA	CATANZARO	CZTD04000T	"I.T.E. ""V. DE FAZIO"" LAMEZIA TERME"	http://www.itedefazio.it	cztd04000t@pec.istruzione.it		
CALABRIA	CATANZARO	CZTD12000D	"ITE ""GRIMALDI - PACIOLI"""	www.itegrimaldipacioli.edu.it	cztd12000d@pec.istruzione.it	https://www.itegrimaldipacioli.edu.it/download/circolare-n-122-prove-invalsi-classi-quinte-disposizioni-organizzative-un-primo-incontro-con-tutti-i-docenti-somministratori-e-fissato-martedi-9-marzo-alle-ore-1600-sulla-piattaforma-g-suite/	
CALABRIA	CATANZARO	CZTE01000D	ISTITUTO TECNICO TECNOLOGICO B. CHIMIRRI	www.itaschimirri.edu.it	czte01000d@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
CALABRIA	CATANZARO	CZTF010008	"IST. TECN. TECNOLOGICO ST. ""E SCALFARO"""	www.ittsscalfaro.edu.it	cztf010008@pec.istruzione.it	1 aspmx.l.google.com.	
CALABRIA	CATANZARO	CZTL06000D	"ITT ""MALAFARINA"" SOVERATO"	itmalafarina.edu.it	cztl06000d@pec.istruzione.it	10 aspmx2.googlemail.com.	
CALABRIA	CATANZARO	CZVC01000A	"CATANZARO CONVITTO NAZIONALE ""GALLUPPI"""	www.convittogalluppicz.edu.it	czvc01000a@pec.istruzione.it	50 alt4.aspmx.l.google.com.	
CALABRIA	COSENZA	CSEE19000L	CD LUZZI		csee19000l@pec.istruzione.it		
CALABRIA	COSENZA	CSEE590004	DD CASTROVILLARI 1	http://www.castrovillariprimo.gov.it	csee590004@pec.istruzione.it		
CALABRIA	COSENZA	CSEE59100X	DD CASTROVILLARI 2	https://www.ddcastrovillari2.edu.it/	csee59100x@pec.istruzione.it		
CALABRIA	COSENZA	CSIC80200T	IC CAROLEI DIPIGNANO -VALENTINI	www.iccaroleidipignano.edu.it	csic80200t@pec.istruzione.it		10 iccaroleidipignano-edu-it.mail.protection.outlook.com.
CALABRIA	COSENZA	CSIC80900L	"IC  ROSE  ""DOCIMO"""	www.istitutocomprensivorose.edu.it	csic80900l@pec.istruzione.it	20 alt2.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC81000R	IC APRIGLIANO	http://www.icaprigliano.gov.it	csic81000r@pec.istruzione.it		
CALABRIA	COSENZA	CSIC81100L	"IC CORIGLIANO C.  ""LEONETTI"""	http://www.icleonetti.gov.it	csic81100l@pec.istruzione.it		
CALABRIA	COSENZA	CSIC81200C	"IC COSENZA ""V.ROMA-SPIRITO S."""	www.icspiritosanto.edu.it	csic81200c@pec.istruzione.it	50 alt3.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC814004	IC   SAN SOSTI	http://www.didatticasansosti.it	csic814004@pec.istruzione.it		
CALABRIA	COSENZA	CSIC81500X	IC FAGNANO CASTELLO-MONGRASSANO	www.icfagnanocastello.edu.it	csic81500x@pec.istruzione.it	10 alt4.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC81800B	IC AMANTEA  CAMPORA - AIELLO C.	http:///www.comprensivocampora-aiello.edu.it	csic81800b@pec.istruzione.it		
CALABRIA	COSENZA	CSIC819007	IC   BELMONTE CALABRO	www.icbelmontecalabro.edu.it	csic819007@pec.istruzione.it	20 alt2.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC822003	IC  CASSANO I. LAUROPOLI	http://www.lauropoliscuole.gov.it	csic822003@pec.istruzione.it		
CALABRIA	COSENZA	CSIC82300V	"IC   VILLAPIANA ""G. PASCOLI"""	www.comprensivovillapiana.edu.it	csic82300v@pec.istruzione.it	50 alt3.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC82400P	IC  FRANCAVILLA/CERCHIARA	www.icfrancavillacerchiara.edu.it	csic82400p@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC827006	IC   MORANO CAL.- SARACENA	www.icmoranosaracena.edu.it	csic827006@pec.istruzione.it	10 aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC82900T	IC  MORMANNO-LAINO BORGO	www.scuolamormanno.edu.it	csic82900t@pec.istruzione.it	20 alt2.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC83100T	"IC  CORIGLIANO ""DON G. BOSCO"""	http://www.cantinellascuole.it	csic83100t@pec.istruzione.it		
CALABRIA	COSENZA	CSIC836001	IC DIAMANTE	www.icdiamante.edu.it	csic836001@pec.istruzione.it	10 aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC83700R	IC SANTA MARIA DEL CEDRO	www.icsantamariadelcedro.edu.it	csic83700r@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC84000L	IC   SAN FILI	http://www.icsanfili.gov.it	csic84000l@pec.istruzione.it		
CALABRIA	COSENZA	CSIC84100C	IC   SAN LUCIDO	www.icsanlucido.edu.it	csic84100c@pec.istruzione.it	50 alt3.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC842008	IC   TERRANOVA DA SIBARI	www.icterranovadasibari.edu.it	csic842008@pec.istruzione.it	20 alt2.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC84600G	IC   CROPALATI	www.iccropalati.edu.it	csic84600g@pec.istruzione.it	50 aspmx2.googlemail.com.	
CALABRIA	COSENZA	CSIC848007	IC  LONGOBUCCO	www.omnicomprensivolongobucco.edu.it	csic848007@pec.istruzione.it	5 alt2.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC849003	IC MANDATORICCIO	www.omnicomprensivomandatoriccio.edu.it	csic849003@pec.istruzione.it		10 omnicomprensivomandatoriccio-edu-it.mail.protection.outlook.com.
CALABRIA	COSENZA	CSIC850007	IC   ROCCA IMP - MONTEGIORDANO	www.icroccamontegiordano.edu.it	csic850007@pec.istruzione.it	5 alt2.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC851003	IC  MANGONE - GRIMALDI	www.icmangone-grimaldi.edu.it	csic851003@pec.istruzione.it	20 alt2.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC85200V	IC AMENDOLARA-ORIOLO-ROSETO C.S	www.istitutocomprensivoamendolara.edu.it	csic85200v@pec.istruzione.it	1 aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC85300P	"I.C. ROVITO ""T. CORNELIO"""	www.icrovito.edu.it	csic85300p@pec.istruzione.it	50 alt4.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC85400E	IC CASALI DEL MANCO 2	http://www.iccasalidelmanco2.edu.it	csic85400e@pec.istruzione.it		
CALABRIA	COSENZA	CSIC85500A	IC   SPEZZANO SILA - CELICO	www.ictelesiospezzanosila.edu.it	csic85500a@pec.istruzione.it	20 alt2.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC856006	IC CASALI DEL MANCO 1	www.iccasali1.edu.it	csic856006@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC857002	IC   SAN PIETRO IN GUARANO	www.icsettino.edu.it	csic857002@pec.istruzione.it	1 aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC85800T	I.C. POLO ARBERESHE	www.pololungro.edu.it	csic85800t@pec.istruzione.it	10 aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC86100N	IC  GUARDIA P. - BONIFATI	https://www.icguardiapiemontese.edu.it	csic86100n@pec.istruzione.it		
CALABRIA	COSENZA	CSIC863009	IC   MALVITO	icmalvito.edu.it	csic863009@pec.istruzione.it	50 alt4.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC864005	IC  BIANCHI - SCIGLIANO	http://www.iobscigliano.gov.it/	csic864005@pec.istruzione.it		
CALABRIA	COSENZA	CSIC865001	IC   AMANTEA  MAMELI - MANZONI	www.mameliamantea.edu.it	csic865001@pec.istruzione.it	50 alt4.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC86700L	IC TORANO C.- S. MART.+CERZETO	www.ictoranocastello.edu.it	csic86700l@pec.istruzione.it	http://www.ictoranocastello.edu.it/?p=3378	10 ictoranocastello-edu-it.mail.protection.outlook.com.
CALABRIA	COSENZA	CSIC86800C	"IC  PAOLA  ""BRUNO"""	www.icbrunopaola.edu.it	csic86800c@pec.istruzione.it	50 alt4.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC87000C	IC   MENDICINO	www.icmendicino.edu.it	csic87000c@pec.istruzione.it	10 aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC871008	"IC PAOLA ""I. GENTILI"""	http://www.isidorogentili.edu.it	csic871008@pec.istruzione.it		
CALABRIA	COSENZA	CSIC872004	IC  CETRARO	www.iccetraro.edu.it	csic872004@pec.istruzione.it	50 alt3.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC87300X	IC   FUSCALDO	http://www.icfuscaldo.edu.it	csic87300x@pec.istruzione.it		
CALABRIA	COSENZA	CSIC87400Q	IC  ROGLIANO	www.istitutocomprensivorogliano.edu.it	csic87400q@pec.istruzione.it	10 aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC87500G	IC  ROGGIANO GR.- ALTOMONTE	www.icroggianogravina-altomonte.edu.it	csic87500g@pec.istruzione.it	10 aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC87600B	IC  CASTROLIBERO	http://www.istitutocomprensivocastrolibero.gov.it	csic87600b@pec.istruzione.it		
CALABRIA	COSENZA	CSIC877007	IC  CERISANO	www.cerisanoscuole.edu.it	csic877007@pec.istruzione.it	50 alt3.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC878003	IC SPEZZANO ALBANESE	http://www.icspixana.gov.it/	csic878003@pec.istruzione.it		
CALABRIA	COSENZA	CSIC87900V	IC  RENDE  QUATTROMIGLIA	www.icrendequattromiglia.edu.it	csic87900v@pec.istruzione.it	5 alt1.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC88300E	"IC  ACRI  ""V. PADULA"""	www.comprensivoacripadula.edu.it	csic88300e@pec.istruzione.it	50 alt3.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC88400A	IC ACRI SAN GIACOMO-LA MUCONE		csic88400a@pec.istruzione.it		
CALABRIA	COSENZA	CSIC885006	IC CASSANO I.  SIBARI	www.istitutocomprensivosibari.edu.it	csic885006@pec.istruzione.it	https://www.istitutocomprensivosibari.edu.it/sito/attachments/article/984/Piano_scolastico_per_la_Didattica_Digitale_Integrata__21-22.pdf	
CALABRIA	COSENZA	CSIC886002	"IC CORIGLIANO C. ""TIERI"""	icstieri.edu.it	csic886002@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC88700T	IC MONTALTO U.-LATT.ROTA G-S.B.	http://www.icmontaltouffugocentro.gov.it	csic88700t@pec.istruzione.it		
CALABRIA	COSENZA	CSIC88800N	IC MONTALTO U. TAVERNA	www.icmontaltotaverna.edu.it	csic88800n@pec.istruzione.it	5 alt1.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC88900D	IC MONTALTO UFFUGO  SCALO	http://www.comprensivomontaltoscalo.edu.it	csic88900d@pec.istruzione.it		
CALABRIA	COSENZA	CSIC89000N	IC RENDE  CENTRO	www.icrendecentro.edu.it	csic89000n@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC892009	IC   CARIATI	http://istitutocomprensivocariatimarina	csic892009@pec.istruzione.it		
CALABRIA	COSENZA	CSIC89600L	"IC COSENZA  ""GULLO """	http://www.icgullocosenzaquarto.gov.it	csic89600l@pec.istruzione.it		
CALABRIA	COSENZA	CSIC89700C	"IC  COSENZA  ""ZUMBINI"""	http://www.iccosenzaunozumbini.it	csic89700c@pec.istruzione.it		
CALABRIA	COSENZA	CSIC898008	"IC   COSENZA   ""V. NEGRONI"""	www.iccosenzaterzonegroni.edu.it	csic898008@pec.istruzione.it	https://www.iccosenzaterzonegroni.edu.it/ic2/index.php/2022/02/15/consigli-di-interclasse-mese-di-febbraio-2022-in-modalita-a-distanza-sulla-piattaforma-gsuite-con-la-presenza-dei-genitori-eletti-nei-consigli-di-interclasse-anno-scolastico-2021-2022/	
CALABRIA	COSENZA	CSIC899004	"IC ACRI  ""BEATO F.M.GRECO"""	http://www.icbeatofrancescomariagreco.edu.it	csic899004@pec.istruzione.it		
CALABRIA	COSENZA	CSIC8A000R	"IC   TREBISACCE  "" C. ALVARO"""	www.istitutocomprensivotrebisacce.edu.it	csic8a000r@pec.istruzione.it	https://www.istitutocomprensivotrebisacce.edu.it/attachments/article/962/PIANO%20scolastico%20xla%20Didat.%20Dig.%20Integrata%20I.C.%20Trebisacce.pdf	20 istitutocomprensivotrebisacce-edu-it.mail.protection.outlook.com.
CALABRIA	COSENZA	CSIC8AE00X	IC   SAN MARCO ARGENTANO	www.icsanmarcoargentano.edu.it	csic8ae00x@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC8AF00Q	IC  CASSANO IONIO	www.iclanzamilanicassanoionio.edu.it	csic8af00q@pec.istruzione.it	50 alt3.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC8AG00G	"IC   CORIGLIANO C. ""C. GUIDI"""	www.icguidicorigliano.edu.it	csic8ag00g@pec.istruzione.it	20 alt2.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC8AH00B	"I.C. CORIGLIANO ""ERODOTO"""	www.icerodoto.edu.it	csic8ah00b@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC8AJ00L	"IC BISIGNANO ""G. PUCCIANO"""	http://www.icpucciano.gov.it	csic8aj00l@pec.istruzione.it		
CALABRIA	COSENZA	CSIC8AK00C	IC    RENDE  COMMENDA	http://www.icrendecommenda.it	csic8ak00c@pec.istruzione.it		
CALABRIA	COSENZA	CSIC8AL008	"IC CS  ""D. MILANI-DE MATERA"""	http://www.icdonmilanidemateracs.it	csic8al008@pec.istruzione.it		
CALABRIA	COSENZA	CSIC8AM004	IC  ROSSANO  I	http://www.icrossano1.gov.it	csic8am004@pec.istruzione.it		
CALABRIA	COSENZA	CSIC8AN00X	IC  ROSSANO  II	www.2comprensivorossano.edu.it	csic8an00x@pec.istruzione.it	50 alt4.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC8AP00G	IC  ROSSANO  III	www.comprensivo3rossano.edu.it	csic8ap00g@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC8AQ00B	"IC ROSSANO IV ""A. AMARELLI"""	www.icamarellirossano.edu.it	csic8aq00b@pec.istruzione.it	50 alt4.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC8AR007	IC   CROSIA-MIRTO	www.iccrosiamirto.edu.it	csic8ar007@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC8AS00C	IC   BELVEDERE MARITTIMO	http://www.icbelvedere.gov.it	csic8as00c@pec.istruzione.it		
CALABRIA	COSENZA	CSIC8AT008	IC   TORTORA	www.istitutocomprensivotortora.edu.it	csic8at008@pec.istruzione.it	10 aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC8AU004	IC   PRAIA A MARE	www.icpraia.edu.it	csic8au004@pec.istruzione.it	50 alt3.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC8AV00X	"IC S. GIOVANNI IN F. "" G. DA FI"	www.gdafioresgf.edu.it	csic8av00x@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC8AW00Q	"IC S. GIOVANNI IN F. ""BANDIERA"""	http://www.fratellibandiera.gov.it	csic8aw00q@pec.istruzione.it		
CALABRIA	COSENZA	CSIC8AX00G	"IC S. GIOVANNI  F. ""ALIGHIERI"""	www.icdantesgf.edu.it	csic8ax00g@pec.istruzione.it	10 aspmx.l.google.com.	
CALABRIA	COSENZA	CSIC8AY00B	"IC SCALEA ""G. CALOPRESE"""	www.icscalea.edu.it	csic8ay00b@pec.istruzione.it	50 alt3.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS001006	"IIS  CORIGLIANO C. ""LC-LS"""	liceicorigliano.edu.it	csis001006@pec.istruzione.it	10 aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS014008	"IIS  AMANTEA ""LS-IPSIA""-ITI-ITC"	www.iispoloamantea.edu.it	csis014008@pec.istruzione.it	10 aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS01600X	"IIS BISIGNANO ""ITI-LICEO SCIENTIFICO"""	www.iisbisignano.edu.it	csis01600x@pec.istruzione.it	10 aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS01700Q	"IIS COSENZA ""MANCINI-TOMMASI"" IPSEOA+ITA"	www.iismancinitommasi.edu.it	csis01700q@pec.istruzione.it	50 alt4.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS01800G	"IIS  ACRI LC - LS ""V. JULIA"""	http://www.liceojulia.it	csis01800g@pec.istruzione.it		
CALABRIA	COSENZA	CSIS022007	"IISS ""ERODOTO DI THURII"" - CASSANO IONIO"	www.iisscassanoionio.it	csis022007@pec.istruzione.it	20 aspmx.l.google.com.	20 iisscassanoionio-it.mail.protection.outlook.com.
CALABRIA	COSENZA	CSIS023003	"IIS  DIAMANTE ""ITCG-IPA ITI"	www.iissdiamante.edu.it	csis023003@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS02700A	"IIS  ROGGIANO G. ""LS-ITI- ITC ALTOMONTE"""	http://www.iisroggianogravina.it/	csis02700a@pec.istruzione.it		
CALABRIA	COSENZA	CSIS028006	IIS  CETRARO LC-ISA-ITA-ITT-LS-IPSIA-	www.iiscetraro.edu.it	csis028006@pec.istruzione.it	10 aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS029002	"IIS  CASTROVILLARI ""LC-ISA"""	www.iisgaribaldialfano.edu.it	csis029002@pec.istruzione.it	10 alt4.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS03400D	"IIS  PRAIA A MARE ""IPSAR-LC"""	www.iispraia.edu.it	csis03400d@pec.istruzione.it	50 alt3.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS04600Q	"IIS  ROSSANO ""ITAS-ITC"""	www.itasitcrossano.edu.it	csis04600q@pec.istruzione.it		10 itasitcrossano-edu-it.mail.protection.outlook.com.
CALABRIA	COSENZA	CSIS049007	"IIS  CASTROLIBERO ""LS-ITCG"""	www.iiscastrolibero.edu.it	csis049007@pec.istruzione.it	10 alt3.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS051007	"IIS COSENZA ""IPSS-ITAS"""	http://www.davincinitticosenza.gov.it/	csis051007@pec.istruzione.it		
CALABRIA	COSENZA	CSIS05300V	"IIS SPEZZANO ALBANESE ""LS - IPA"""	http://www.iisbacheletspezzano.gov.it/	csis05300v@pec.istruzione.it		
CALABRIA	COSENZA	CSIS06100T	"IIS   ACRI ""IPSIA-ITI"""	http://www.iisacri.it	csis06100t@pec.istruzione.it		
CALABRIA	COSENZA	CSIS06300D	"IIS TREBISACCE ""IPSIA- ITI"""	www.istitutoaletti.edu.it	csis06300d@pec.istruzione.it	20 alt2.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS064009	"IIS  ROSSANO""ITI-IPA-ITA"""	www.iismajoranarossano.edu.it	csis064009@pec.istruzione.it	20 alt2.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS066001	IIS -ITI-ITG GREEN - FALCONE  BORSELLINO	www.iisgreenfalconeborsellino.edu.it	csis066001@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS06700R	"IIS SAN MARCO ARGENTANO ""ITCG-LC """	www.iissanmarcoargentano.edu.it	csis06700r@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS06800L	"IIS CARIATI  ""LS-IPSC - IPSIA - ITI"""	www.iisliceocariati.edu.it	csis06800l@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS06900C	"IIS POLO TECNICO SCIENT.""BRUTIUM""COSENZA"	www.iispezzullo.edu.it	csis06900c@pec.istruzione.it	5 alt1.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS07100C	"IIS ROSSANO ""LS-LC-LA"""		csis07100c@pec.istruzione.it		
CALABRIA	COSENZA	CSIS072008	IIS PAOLA ITCG-IPSIA-IPSC PIZZINI PISANI	www.pizzinipisanipaola.edu.it	csis072008@pec.istruzione.it	20 alt2.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS073004	IIS IPSIA COSENZA - LS-ITE ROGLIANO	www.iismarconiguarasci.edu.it	csis073004@pec.istruzione.it	50 alt3.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS07400X	"IIS ITE""V. COSENTINO-IPAA""F.TODARO""RENDE"	http://www.iisrende.gov.it	csis07400x@pec.istruzione.it		
CALABRIA	COSENZA	CSIS07700B	IIS  S.G. IN FIORE (IPA-IPSSAR-ITI-ITCG)	www.iisdavincisangiovanniinfiore.edu.it	csis07700b@pec.istruzione.it	20 alt2.aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS078007	IIS S.G. FIORE -( L.S. - ISA - IPSIA)	www.liceisgf.edu.it	csis078007@pec.istruzione.it	1 aspmx.l.google.com.	
CALABRIA	COSENZA	CSIS079003	"IIS CASTROV. LS ""E.MATTEI"" CASTROVILLARI"	www.liceomattei.edu.it	csis079003@pec.istruzione.it	20 alt1.aspmx.l.google.com.	
